Id,Name,Status__c,Salary__c
1,Ronstring,On hold,120K+
2,Fix San,On hold,90K-120K
3,Tampflex,On hold,90K-120K
4,Cardguard,Archived,50K-75K
5,Namfix,On hold,120K+
6,Tempsoft,On hold,50K-75K
7,Prodder,Active,50K-75K
8,Fix San,On hold,90K-120K
9,Y-Solowarm,Archived,120K+
10,Tresom,Archived,90K-120K
11,Sub-Ex,Archived,75K-90K
12,Trippledex,Active,75K-90K
13,Mat Lam Tam,Active,120K+
14,Aerified,On hold,50K-75K
15,Domainer,Archived,75K-90K
16,Job,On hold,50K-75K
17,Gembucket,Archived,90K-120K
18,Temp,Active,50K-75K
19,Aerified,Archived,75K-90K
20,Transcof,Archived,75K-90K
21,Ventosanzap,Active,50K-75K
22,Fix San,Archived,75K-90K
23,Stronghold,Active,90K-120K
24,Daltfresh,Archived,75K-90K
25,Job,Archived,120K+
26,Veribet,Archived,90K-120K
27,Prodder,Archived,50K-75K
28,Tampflex,Archived,50K-75K
29,Sonair,Active,90K-120K
30,Bigtax,Archived,90K-120K
31,Andalax,On hold,120K+
32,Hatity,Archived,90K-120K
33,Bitchip,Archived,120K+
34,Voltsillam,Archived,90K-120K
35,Flexidy,Active,75K-90K
36,Redhold,On hold,50K-75K
37,Vagram,Active,120K+
38,Biodex,Active,120K+
39,Matsoft,Archived,90K-120K
40,It,Archived,90K-120K
41,Andalax,On hold,90K-120K
42,Sub-Ex,Active,120K+
43,Trippledex,On hold,50K-75K
44,Fix San,Archived,90K-120K
45,Prodder,Archived,75K-90K
46,Bamity,Active,120K+
47,Pannier,Active,90K-120K
48,Konklux,On hold,120K+
49,Asoka,Active,50K-75K
50,Bigtax,On hold,120K+
51,Pannier,Archived,75K-90K
52,Temp,Archived,50K-75K
53,Cardify,Archived,50K-75K
54,Sonair,Active,50K-75K
55,Zamit,On hold,120K+
56,Pannier,Active,75K-90K
57,Ronstring,On hold,50K-75K
58,Tin,Active,120K+
59,Redhold,Archived,75K-90K
60,Alphazap,Archived,75K-90K
61,Alpha,Archived,120K+
62,Cookley,Active,50K-75K
63,Zamit,Active,50K-75K
64,Greenlam,On hold,120K+
65,Ronstring,On hold,120K+
66,Latlux,Active,90K-120K
67,Bitwolf,On hold,120K+
68,Treeflex,Archived,90K-120K
69,Matsoft,Archived,75K-90K
70,Aerified,On hold,120K+
71,Rank,Archived,90K-120K
72,Fix San,Active,50K-75K
73,Opela,On hold,75K-90K
74,Gembucket,On hold,75K-90K
75,Bytecard,Active,50K-75K
76,Zathin,Active,75K-90K
77,Daltfresh,Archived,75K-90K
78,Sonsing,Active,120K+
79,Trippledex,On hold,90K-120K
80,Fixflex,Archived,50K-75K
81,Transcof,Active,50K-75K
82,Bitwolf,Archived,90K-120K
83,Sub-Ex,On hold,120K+
84,Tin,Active,120K+
85,Flexidy,On hold,90K-120K
86,Biodex,Active,90K-120K
87,Keylex,On hold,120K+
88,Rank,On hold,120K+
89,Sonair,On hold,75K-90K
90,It,Active,75K-90K
91,Latlux,Active,75K-90K
92,Otcom,Archived,90K-120K
93,Bigtax,On hold,75K-90K
94,Konklux,On hold,120K+
95,Hatity,Active,75K-90K
96,Zoolab,On hold,50K-75K
97,Bitwolf,Archived,75K-90K
98,Vagram,Archived,120K+
99,Subin,Active,50K-75K
100,Zontrax,Active,90K-120K
101,Fix San,Active,120K+
102,Bamity,Active,50K-75K
103,Ventosanzap,On hold,120K+
104,Keylex,On hold,90K-120K
105,Zamit,On hold,75K-90K
106,Zaam-Dox,Archived,50K-75K
107,Mat Lam Tam,Active,75K-90K
108,Zamit,Active,90K-120K
109,Redhold,On hold,90K-120K
110,Zontrax,Archived,120K+
111,Namfix,Archived,120K+
112,Matsoft,Archived,75K-90K
113,Span,On hold,120K+
114,Home Ing,On hold,50K-75K
115,Voltsillam,On hold,120K+
116,It,Active,75K-90K
